"ID";"ITEM";"FORMA";"COMPETENCIA";"ESTRUCTURA";"FUNCION";"DIFICULTAD_TCT";"BANCO_WEBEXAM"
835;"COMGC005";"12";"COMUNICATIVA";"1.1.2";"OPERATIVO";54,76;"COM12"
836;"COMBR25";"12";"COMUNICATIVA";"1.2.1";"OPERATIVO";78,57;"COM12"
837;"COMLV164";"12";"COMUNICATIVA";"1.2.2";"OPERATIVO";67,47;"COM12"
838;"COMPS122";"12";"COMUNICATIVA";"2.1.1";"OPERATIVO";17,52;"COM12"
839;"COMGC024";"12";"COMUNICATIVA";"2.1.1";"OPERATIVO";57,14;"COM12"
840;"COMGC114";"12";"COMUNICATIVA";"2.1.2";"OPERATIVO";55,72;"COM12"
841;"57928";"12";"COMUNICATIVA";"2.2.1";"OPERATIVO";58,11;"COM12"
842;"COMSH054";"12";"COMUNICATIVA";"3.1.1";"OPERATIVO";80,95;"COM12"
843;"57918";"12";"COMUNICATIVA";"3.2.1";"OPERATIVO";65,04;"COM12"
844;"57935";"12";"COMUNICATIVA";"3.2.1";"OPERATIVO";44,05;"COM12"
845;"57939";"12";"COMUNICATIVA";"3.2.1";"OPERATIVO";37,06;"COM12"
846;"COMGC001";"12";"COMUNICATIVA";"4.1.1";"OPERATIVO";45,23;"COM12"
847;"34303";"12";"COMUNICATIVA";"4.1.2";"OPERATIVO";26,13;"COM12"
848;"COMBM135";"12";"COMUNICATIVA";"4.1.2";"PILOTO";68,83;"COM12"
849;"COMNJ064";"12";"COMUNICATIVA";"4.2.1";"PILOTO";95,23;"COM12"
850;"COMBR154";"12";"COMUNICATIVA";"4.3.1";"PILOTO";86,39;"COM12"
851;"COMMM058";"12";"COMUNICATIVA";"4.3.1";"PILOTO";85,71;"COM12"
852;"MATVP017";"12";"MATEMATICA";"1.1.1";"PILOTO";88,55;"MAT12"
853;"MATVP018";"12";"MATEMATICA";"1.1.1";"OPERATIVO";78,04;"MAT12"
854;"MATCE041";"12";"MATEMATICA";"1.1.2";"OPERATIVO";47,61;"MAT12"
855;"MATCL001";"12";"MATEMATICA";"1.1.2";"OPERATIVO";45,23;"MAT12"
856;"MATCR051";"12";"MATEMATICA";"1.1.3";"OPERATIVO";41,06;"MAT12"
857;"MATYJ039";"12";"MATEMATICA";"1.1.3";"OPERATIVO";53,57;"MAT12"
858;"34209";"12";"MATEMATICA";"1.2.1";"OPERATIVO";40,67;"MAT12"
859;"MATCH021";"12";"MATEMATICA";"1.2.1";"OPERATIVO";39,02;"MAT12"
860;"MATCH025";"12";"MATEMATICA";"2.1.1";"OPERATIVO";28,19;"MAT12"
861;"MATYJ042";"12";"MATEMATICA";"2.2.1";"OPERATIVO";49,04;"MAT12"
862;"34180";"12";"MATEMATICA";"2.2.1";"OPERATIVO";45,67;"MAT12"
863;"MATBA094";"12";"MATEMATICA";"3.1.1";"OPERATIVO";62,47;"MAT12"
864;"34185";"12";"MATEMATICA";"3.1.1";"PILOTO";62,19;"MAT12"
865;"34188";"12";"MATEMATICA";"3.2.1";"OPERATIVO";26,56;"MAT12"
866;"57764";"12";"RAZONAMIENTO ABSTRACTO";"1.1.1";"PILOTO";68,11;"ABS12"
867;"ABSGP008";"12";"RAZONAMIENTO ABSTRACTO";"1.1.1";"PILOTO";83,33;"ABS12"
868;"ABSJI010";"12";"RAZONAMIENTO ABSTRACTO";"1.2.1";"PILOTO";79,30;"ABS12"
869;"ABSTJ045";"12";"RAZONAMIENTO ABSTRACTO";"1.2.1";"OPERATIVO";42,85;"ABS12"
870;"57757";"12";"RAZONAMIENTO ABSTRACTO";"1.3.1";"OPERATIVO";47,42;"ABS12"
871;"57768";"12";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";48,93;"ABS12"
872;"57782";"12";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";65,07;"ABS12"
873;"ABSCR020";"12";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";50,00;"ABS12"
874;"57754";"12";"RAZONAMIENTO ABSTRACTO";"2.1.2";"PILOTO";74,18;"ABS12"
